"country","vaccine","birth_cohort","median","iqr","mean","sd","range","quan_01","quan_05","quan_15","quan_25","quan_50","quan_75","quan_85","quan_95","quan_99"
"All","HepB-BD",2012,3.5,"(0.75, 12)",8.1,"(14.27)","(-1, 74)",-1,-1,0,0.8,3.5,12,12.9,18.6,59.4
"All","HepB-BD",2013,2,"(0, 8)",7.8,"(18.23)","(-2, 132)",-2,-2,-1,0,2,8,11.2,51,91.9
"All","HepB-BD",2014,1,"(-1, 2)",2.4,"(10.85)","(-2, 108)",-2,-2,-1,-1,1,2,2,7,53.3
"All","HepB-BD",2015,1,"(-1, 2)",1.8,"(7.78)","(-2, 106)",-2,-2,-1,-1,1,2,2,7,52.8
"All","HepB-BD",2016,1,"(0, 2)",3.9,"(12.6)","(-2, 137)",-2,-2,-1,0,1,2,4,21.4,54.9
"All","HepB-BD",2017,1,"(-1, 2)",3.1,"(11.41)","(-2, 141)",-2,-2,-1,-1,1,2,3,14,54
"All","HepB-BD",2018,1,"(-1, 2)",2.7,"(10.41)","(-2, 118)",-2,-2,-1,-1,1,2,2,13,54
"All","HepB-BD",2019,0,"(-1, 2)",1.9,"(9.07)","(-2, 125)",-2,-2,-1,-1,0,2,2,8,51
"All","HepB-BD",2020,0,"(-1, 1)",2.7,"(12.66)","(-2, 106)",-2,-2,-1,-1,0,1,2,8.1,69
"All","HepB-BD",2021,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","HepB-BD",2022,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","HepB-D1",2006,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","HepB-D1",2007,-9,"(-10, -7)",-7.3,"(10.43)","(-11, 95)",-11,-11,-10,-10,-9,-7,-7,-7,23.9
"All","HepB-D1",2008,-8,"(-10, -7)",-5,"(12.15)","(-11, 149)",-11,-11,-10,-10,-8,-7,1,7,44
